symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept,CoC+,level
HDFCBANK.NSE,2020-10-26,1229.8,1242.0,1176.36,1182.4,554.95,95044384,,,,,,,,,,,,,,,,,,,,,0.0,
HDFCBANK.NSE,2025-02-24,1681.1,1737.26,1661.1,1730.16,855.6476,135135882,-1.0,1661.1,,,,,1.0,1737.26,1661.1,286494800.0,294.0,61.45501,,,,,,,,,1.0,1661.1
HDFCBANK.NSE,2025-03-03,1739.8,1743.06,1672.26,1688.0,834.7974,109049196,,,,,,,,,,,,,,,,,,,,,0.0,
HDFCBANK.NSE,2025-03-10,1689.0,1720.8,1670.06,1705.0,843.2048,70022850,,,,,,,,,,,,,,,,,,,,,0.0,
HDFCBANK.NSE,2025-03-17,1705.0,1774.1,1705.0,1772.5,876.5868,107422740,,,,,,,,,,,,,1.0,1773.66,1720.8,274.0,,,,,0.0,
HDFCBANK.NSE,2025-03-24,1779.0,1843.7,1773.66,1825.5,902.7978,151405342,,,,,,,,,,,,,,,,,,,,,0.0,
HDFCBANK.NSE,2025-04-01,1802.0,1841.96,1765.36,1816.8,898.4953,84875062,,,,,,,,,,,,,,,,,,,,,0.0,
HDFCLIFE.NSE,2022-05-16,552.1,558.55,525.4,544.7,538.1428,12302126,-1.0,525.4,,-1.0,525.4,145.0,,,,,,,,,,,,,,,1.0,525.4
HDFCLIFE.NSE,2022-05-23,544.0,604.3,542.65,598.1,590.9,24511292,,,,,,,,,,,,,1.0,591.2,558.55,128.0,,,,,0.0,
HDFCLIFE.NSE,2022-05-30,605.65,617.45,591.2,602.7,597.1117,24833614,1.0,617.45,,,,,,,,,,,,,,,1.0,619.025,157.0,181.0,0.0,
HDFCLIFE.NSE,2022-06-06,601.95,614.5,591.55,593.1,587.6007,11440164,,,,,,,,,,,,,-1.0,591.2,590.0,137.0,,,,,0.0,
HDFCLIFE.NSE,2022-06-13,581.55,590.0,547.4,550.8,545.6929,16364670,,,,,,,,,,,,,-1.0,591.55,565.8,130.0,,,,,0.0,
HDFCLIFE.NSE,2022-06-20,551.0,565.8,545.85,561.45,556.2441,6090569,,,,,,,,,,,,,,,,,,,,,0.0,
HDFCLIFE.NSE,2022-12-26,562.5,574.2,559.15,566.25,560.9996,10010093,-1.0,559.15,,-1.0,559.15,161.0,,,,,,,,,,,,,,,1.0,559.15
HDFCLIFE.NSE,2023-01-02,565.0,620.6,561.25,611.65,605.9787,29781640,1.0,620.6,,1.0,620.6,181.0,,,,,,,1.0,594.35,574.2,159.0,,,,,0.0,
HDFCLIFE.NSE,2023-01-09,615.05,618.05,594.35,604.5,598.895,17250968,,,,,,,,,,,,,,,,,,,,,0.0,
HDFCLIFE.NSE,2023-01-16,605.0,612.6,588.25,590.55,585.0743,15140320,,,,,,,,,,,,,,,,,,,,,0.0,
HDFCLIFE.NSE,2023-01-23,595.0,596.45,578.05,587.7,582.2508,11179625,,,,,,,,,,,,,,,,,,,,,0.0,
HDFCLIFE.NSE,2023-01-30,586.8,592.35,481.0,488.9,484.3668,56452563,,,,,,,,,,,,,-1.0,578.05,528.4,171.0,,,,,0.0,
HAVELLS.NSE,2025-04-07,1397.0,1537.7,1389.5,1532.85,1526.9785,3550629,-1.0,1389.5,,,,,1.0,1537.7,1389.5,10732006.0,0.0,34.15185,,,,,,,,,1.0,1389.5
HAVELLS.NSE,2025-04-15,1529.1,1646.8,1499.5,1638.5,1632.2238,4449265,,,,,,,,,,,,,1.0,1573.3,1537.7,278.0,,,,,0.0,
HAVELLS.NSE,2025-04-21,1640.0,1673.8,1573.3,1599.8,1593.6721,10361900,1.0,1673.8,,,,,,,,,,,,,,,,,,,0.0,
HAVELLS.NSE,2025-04-28,1599.8,1633.0,1556.6,1561.6,1555.6184,3690467,,,,,,,,,,,,,,,,,,,,,0.0,
HAVELLS.NSE,2025-05-05,1571.9,1592.0,1513.1,1548.3,1542.3693,3285134,,,,,,,,,,,,,,,,,,,,,0.0,
HAVELLS.NSE,2025-05-12,1576.6,1623.7,1565.2,1577.4,1571.3579,4788993,,,,,,,,,,,,,,,,,,,,,0.0,
HEROMOTOCO.NSE,2020-12-21,3148.0,3152.85,2900.6,3073.1,2612.947,3822994,-1.0,2900.6,,-1.0,2900.6,67.0,,,,,,,,,,,,,,,1.0,2900.6
HEROMOTOCO.NSE,2020-12-28,3096.0,3124.0,3061.0,3102.65,2638.0723,2741509,,,,,,,,,,,,,,,,,,,,,0.0,
HEROMOTOCO.NSE,2021-01-04,3112.0,3165.95,3031.0,3161.1,2687.7702,6577279,,,,,,,,,,,,,1.0,3147.05,3124.0,55.0,,,,,0.0,
HEROMOTOCO.NSE,2021-01-11,3161.0,3318.0,3147.05,3203.0,2723.3963,6608964,,,,,,,,,,,,,,,,,,,,,0.0,
HEROMOTOCO.NSE,2021-01-18,3200.0,3483.95,3082.25,3374.9,2869.5567,8005948,,,,,,,,,,,,,,,,,,,,,0.0,
HEROMOTOCO.NSE,2021-01-25,3417.95,3520.15,3226.4,3256.05,2768.5028,7305842,,,,,,,,,,,,,,,,,,,,,0.0,
HEROMOTOCO.NSE,2022-03-28,2370.0,2401.0,2150.0,2240.15,2001.1252,10964555,-1.0,2150.0,,,,,1.0,2401.0,2150.0,9622979.0,0.0,16.150087,,,,,,,,,1.0,2150.0
HEROMOTOCO.NSE,2022-04-04,2250.0,2380.0,2250.0,2362.45,2110.3757,4493817,,,,,,,,,,,,,,,,,,,,,0.0,
HEROMOTOCO.NSE,2022-04-11,2357.95,2361.75,2268.9,2274.4,2031.7207,1338027,,,,,,,,,,,,,,,,,,,,,0.0,
HEROMOTOCO.NSE,2022-04-18,2269.9,2327.5,2242.4,2294.25,2049.4527,2271860,,,,,,,,,,,,,,,,,,,,,0.0,
HEROMOTOCO.NSE,2022-04-25,2268.3,2552.0,2266.0,2506.65,2239.1895,6013092,,,,,,,,,,,,,1.0,2398.8,2327.5,123.0,,,,,0.0,
HEROMOTOCO.NSE,2022-05-02,2460.2,2599.0,2398.8,2563.35,2289.8396,6097111,,,,,,,,,,,,,,,,,,,,,0.0,
HEROMOTOCO.NSE,2023-10-09,3021.1,3132.1,2923.95,3098.45,2908.3473,3795128,-1.0,2923.95,,,,,1.0,3132.1,2923.95,8523551.0,0.0,19.872519,1.0,3099.85,3064.9,199.0,,,,,1.0,2923.95
HEROMOTOCO.NSE,2023-10-16,3104.0,3275.0,3099.85,3211.25,3014.2265,3315385,1.0,3275.0,1.0,,3275.0,202.0,,,,,,,,,,,,,,,0.0,
HEROMOTOCO.NSE,2023-10-23,3205.55,3232.75,3085.0,3112.2,2921.2536,1480573,,,,,,,,,,,,,,,,,,,,,0.0,
HEROMOTOCO.NSE,2023-10-30,3112.25,3149.95,3041.5,3089.4,2899.8525,2625521,-1.0,3041.5,,,,,1.0,3149.95,3041.5,8584247.0,0.0,44.061783,,,,,,,,,0.0,
HEROMOTOCO.NSE,2023-11-06,3110.0,3196.0,3095.15,3105.2,2914.6831,3090562,,,,,,,,,,,,,,,,,,,,,0.0,
HEROMOTOCO.NSE,2023-11-13,3102.1,3368.8,3102.1,3334.75,3130.1493,2868164,,,,,,,,,,,,,1.0,3315.6,3196.0,0.0,,,,,0.0,
HINDALCO.NSE,2024-09-09,664.0,686.4,645.4,673.25,668.3486,26847677,-1.0,645.4,,-1.0,645.4,254.0,,,,,,,,,,,,,,,1.0,645.4
HINDALCO.NSE,2024-09-16,680.1,698.8,668.2,694.4,689.3447,25947512,,,,,,,,,,,,,1.0,687.95,686.4,251.0,,,,,0.0,
HINDALCO.NSE,2024-09-23,695.5,757.7,687.95,747.15,741.7106,51045532,,,,,,,,,,,,,1.0,740.05,698.8,249.0,,,,,0.0,
HINDALCO.NSE,2024-09-30,750.0,772.65,740.05,747.9,742.4552,23242389,1.0,772.65,,,,,-1.0,772.65,740.05,97100480.0,0.0,18.439444,,,,,,,,,0.0,
HINDALCO.NSE,2024-10-07,753.0,753.0,708.0,747.35,741.9092,24128570,,,,,,,,,,,,,,,,,,,,,0.0,
HINDALCO.NSE,2024-10-14,746.0,756.45,720.65,753.5,748.0144,20493431,,,,,,,,,,,,,,,,,,,,,0.0,
HINDALCO.NSE,2025-06-02,628.95,651.25,618.0,650.15,645.4168,24305182,-1.0,618.0,,,,,1.0,651.25,618.0,77109016.0,0.0,43.910072,,,,,,,,,1.0,618.0
HINDALCO.NSE,2025-06-09,653.4,663.5,635.0,641.8,637.1276,23527628,,,,,,,,,,,,,,,,,,,,,0.0,
HINDALCO.NSE,2025-06-16,641.8,654.5,635.05,649.15,644.4241,22594166,,,,,,,,,,,,,,,,,,,,,0.0,
HINDALCO.NSE,2025-06-23,644.0,700.05,640.15,697.35,692.2732,30987225,,,,,,,,,,,,,1.0,684.35,654.5,288.0,,,,,0.0,
HINDALCO.NSE,2025-06-30,700.0,708.1,684.35,699.45,694.3579,21851809,1.0,708.1,1.0,,708.1,296.0,,,,,,,,,,,,,,,0.0,
HINDALCO.NSE,2025-07-07,699.45,699.45,661.55,670.95,666.0654,21200318,,,,,,,,,,,,,-1.0,684.35,680.55,290.0,,,,,0.0,
HAL.NSE,2021-06-21,1007.2,1047.0,991.2,1037.0,482.13,2343930,-1.0,991.2,,,,,1.0,1047.0,991.2,17172144.0,0.0,15.807231,,,,,,,,,1.0,991.2
HAL.NSE,2021-06-28,1041.0,1073.56,1010.0,1067.56,496.3381,3609818,,,,,,,,,,,,,1.0,1055.16,1047.0,81.0,,,,,0.0,
HAL.NSE,2021-07-05,1076.1,1157.0,1055.16,1118.56,520.0495,11218396,1.0,1157.0,1.0,,1157.0,86.0,,,,,,,,,,,,,,,0.0,
HAL.NSE,2021-07-12,1124.9,1134.5,1072.0,1074.76,499.6856,3228908,,,,,,,,,,,,,,,,,,,,,0.0,
HAL.NSE,2021-07-19,1074.8,1153.0,1053.94,1103.06,512.8431,4994180,-1.0,1053.94,,,,,1.0,1153.0,1053.94,34100536.0,0.0,19.73049,,,,,,,,,0.0,
HAL.NSE,2021-07-26,1105.5,1127.3,1083.06,1116.34,519.0173,2785840,,,,,,,,,,,,,,,,,,,,,0.0,
ICICIBANK.NSE,2024-11-18,1260.0,1281.4,1232.55,1278.05,1268.264,38931079,-1.0,1232.55,,-1.0,1232.55,263.0,,,,,,,,,,,,,,,1.0,1232.55
ICICIBANK.NSE,2024-11-25,1296.0,1314.25,1282.3,1300.1,1290.1452,86503591,,,,,,,,,,,,,1.0,1289.15,1281.4,259.0,,,,,0.0,
ICICIBANK.NSE,2024-12-02,1299.9,1347.1,1289.15,1328.75,1318.5758,60859326,,,,,,,,,,,,,,,,,,,,,0.0,
ICICIBANK.NSE,2024-12-09,1322.1,1347.15,1313.5,1344.9,1334.6021,46970624,,,,,,,,,,,,,,,,,,,,,0.0,
ICICIBANK.NSE,2024-12-16,1344.9,1350.45,1272.4,1288.4,1278.5348,97469343,1.0,1350.45,,,,,,,,,,,,,,,,,,,0.0,
ICICIBANK.NSE,2024-12-23,1294.65,1315.95,1287.05,1307.55,1297.5381,26060538,,,,,,,,,,,,,,,,,,,,,0.0,
ICICIGI.NSE,2025-04-07,1731.15,1808.95,1702.0,1718.55,1712.1426,2801871,-1.0,1702.0,,,,,1.0,1808.95,1702.0,10179326.0,0.0,37.97883,,,,,,,,,1.0,1702.0
