setup_type,time,entry_price,stop_loss,take_profit,outcome_6,initiation_date,ticker
SHORT,05-05-2021 00:00,1455.199951,1491.57995,1401.1,SL,30-03-2021,ICICIGI
SHORT,21-11-2023 04:00,1464.949951,1501.5737,1404.95,SL,29-11-2021,ICICIGI
SHORT,13-10-2023 04:00,1316.949951,1385,1266,SL,11-09-2023,ICICIGI
SHORT,07-07-2022 04:00,518.049987,567.95,474.55,TP,06-06-2022,ICICIPRULI
LONG,24-02-2022 08:00,194.300003,189.4425029,214,SL,17-01-2022,INDHOTEL
LONG,14-03-2023 00:00,309.450012,298.2,324.2,TP,20-02-2023,INDHOTEL
LONG,22-09-2023 00:00,405.450012,376.9,436.45,TP,14-08-2023,INDHOTEL
LONG,29-08-2025 00:00,768.049987,732.8,795.65,TP,04-08-2025,INDHOTEL
SHORT,12-01-2022 08:00,208.699996,213.9174959,186.3,TP,06-12-2021,INDHOTEL
SHORT,07-11-2023 00:00,401.799987,424.75,371.6,TP,03-10-2023,INDHOTEL
SHORT,17-07-2025 04:00,754,786.9,724.75,TP,23-06-2025,INDHOTEL
SHORT,04-12-2020 04:00,90,92.25,85.155,TP,17-08-2020,IOC
LONG,08-11-2021 04:00,1071.050048,984.15,1186.5,SL,06-09-2021,INDUSINDBK
SHORT,11-05-2023 04:00,1191.599975,1238.2,1106,SL,09-01-2023,INDUSINDBK
LONG,26-09-2022 04:00,3770.850097,3606,3990,SL,27-06-2022,NAUKRI
SHORT,11-07-2022 04:00,1695.449951,1838.5,1511.75,SL,06-06-2022,INDIGO
SHORT,18-03-2024 08:00,804.400024,839.7,761.75,SL,26-02-2024,JSWSTEEL
LONG,12-10-2020 08:00,1312.699951,1267,1367.4,TP,13-07-2020,KOTAKBANK
SHORT,14-09-2021 08:00,1864.949951,1999.35,1742.6,TP,08-03-2021,KOTAKBANK
SHORT,13-12-2022 00:00,4334,4442.35,3570,TP,01-02-2021,LTIM
SHORT,02-05-2023 04:00,4556.75,4848,4148.2,TP,03-04-2023,LTIM
LONG,07-10-2024 04:00,934.5,911.1375,1028.3,TP,24-06-2024,LICI
LONG,12-07-2022 08:00,1108.550048,985.3,1140,TP,20-06-2022,LODHA
LONG,28-11-2023 00:00,887.049987,864.8737373,1017.5,TP,02-05-2023,LODHA
LONG,13-03-2024 00:00,1083.699951,1010.8,1233.95,TP,12-02-2024,LODHA
SHORT,19-01-2023 08:00,1109.25,1136.98125,1082.06,TP,05-09-2022,LODHA
LONG,27-02-2023 04:00,1255.050048,1208,1337,TP,19-12-2022,M&M
SHORT,18-05-2021 08:00,797.049987,837.85,731.1,TP,12-04-2021,M&M
LONG,01-12-2020 04:00,7106.299804,6753.1,7882.65,TP,09-11-2020,MARUTI
LONG,01-08-2025 04:00,237.899993,231.9524932,247.13,TP,26-05-2025,ONGC
LONG,15-03-2021 04:00,1712,1669.2,1761.4,TP,22-02-2021,PIDILITIND
SHORT,12-10-2020 04:00,1478.550048,1532.95,1373.6,TP,01-06-2020,PIDILITIND
LONG,04-06-2024 08:00,426.75,407.7,458.85,SL,06-05-2024,PFC
LONG,12-10-2020 04:00,161.149993,151.0756,175.7156,TP,18-05-2020,POWERGRID
SHORT,19-12-2022 04:00,218.350006,224.9467,210.4533,TP,28-11-2022,POWERGRID
SHORT,30-08-2021 04:00,150.399993,160.5067,139.2533,TP,02-08-2021,RECLTD
SHORT,22-06-2022 00:00,2534.300048,2597.657549,2219.72,TP,30-05-2022,RELIANCE
LONG,28-07-2021 04:00,27500,26812.5,28555,TP,28-06-2021,SHREECEM
LONG,18-01-2023 04:00,24027.15039,23055.4,24773,TP,26-12-2022,SHREECEM
LONG,06-03-2024 04:00,24545.09961,23451,26049.2,TP,14-08-2023,SHREECEM
SHORT,18-01-2022 00:00,27248.69922,29818.9,25198.25,TP,08-11-2021,SHREECEM
LONG,06-03-2025 04:00,643.400024,627.3150234,783.7,TP,03-08-2020,SHRIRAMFIN
LONG,20-12-2022 04:00,1369.5,1272.1,1514.4,TP,03-05-2021,SHRIRAMFIN
LONG,20-12-2022 04:00,1369.5,1273.3,1558.8,TP,27-09-2021,SHRIRAMFIN
SHORT,21-12-2022 00:00,1404,1439.1,1310.2,SL,26-07-2021,SHRIRAMFIN
SHORT,04-11-2020 04:00,513.400024,529.3,452.25,TP,05-10-2020,SUNPHARMA
LONG,26-09-2022 04:00,399.149993,389.1712432,441.75,TP,27-06-2022,TATAMOTORS
LONG,11-09-2024 04:00,973.299987,948.9674873,1029.8,TP,15-07-2024,TATAMOTORS
