Code,Name,Country,Exchange,Currency,Type,Isin,Company Name,Industry_x,Symbol,Series,ISIN Code,Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry_y,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
RADICO,Radico Khaitan Limited,India,NSE,INR,Common Stock,INE944F01028,Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028,532497,Radico Khaitan Ltd.,RADICO,Radico Khaitan Ltd,Active,A ,2.00,INE944F01028,Breweries & Distilleries,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
RAILTEL,Railtel Corporation Of India Limited,India,NSE,INR,Common Stock,INE0DD101019,Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL,EQ,INE0DD101019,543265,RailTel Corporation of India Limited,RAILTEL,RailTel Corporation of India Ltd,Active,A ,10.00,INE0DD101019,Other Telecom Services,Equity,Telecommunication,Telecommunication,Telecom - Services,Other Telecom Services
RAINBOW,Rainbow Childrens Medicare Limited,India,NSE,INR,Common Stock,INE961O01016,Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW,EQ,INE961O01016,543524,Rainbow Children's Medicare Limited,RAINBOW,Rainbow Children's Medicare Ltd,Active,A ,10.00,INE961O01016,Hospital,Equity,Healthcare,Healthcare,Healthcare Services,Hospital
RAMCOCEM,The Ramco Cements Limited,India,NSE,INR,Common Stock,INE331A01037,The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ,INE331A01037,500260,The Ramco Cements Limited,RAMCOCEM,The Ramco Cements Ltd,Active,A ,1.00,INE331A01037,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
RAYMOND,Raymond Limited,India,NSE,INR,Common Stock,INE301A01014,Raymond Ltd.,Realty,RAYMOND,EQ,INE301A01014,500330,Raymond Limited,RAYMOND,Raymond Ltd,Active,A ,10.00,INE301A01014,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
RAYMONDLSL,Raymond Lifestyle Ltd,India,NSE,INR,Common Stock,INE02ID01020,Raymond Lifestyle Ltd.,Textiles,RAYMONDLSL,EQ,INE02ID01020,544240,Raymond Lifestyle Limited,RAYMONDLSL,Raymond Lifestyle Ltd,Active,A ,2.00,INE02ID01020,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
RBLBANK,RBL Bank Limited,India,NSE,INR,Common Stock,INE976G01028,RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028,540065,RBL Bank Limited,RBLBANK,RBL Bank Ltd,Active,A ,10.00,INE976G01028,Private Sector Bank,Equity,Financial Services,Financial Services,Banks,Private Sector Bank
RCF,Rashtriya Chemicals and Fertilizers Limited,India,NSE,INR,Common Stock,INE027A01015,Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF,EQ,INE027A01015,524230,Rashtriya Chemicals & Fertilizers Limited,RCF,Rashtriya Chemicals and Fertilizers Ltd,Active,A ,10.00,INE027A01015,Fertilizers,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
RECLTD,REC Limited,India,NSE,INR,Common Stock,INE020B01018,REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018,532955,REC LIMITED,RECLTD,REC Ltd,Active,A ,10.00,INE020B01018,Financial Institution,Equity,Financial Services,Financial Services,Finance,Financial Institution
REDINGTON,Redington Limited,India,NSE,INR,Common Stock,INE891D01026,Redington Ltd.,Services,REDINGTON,EQ,INE891D01026,532805,Redington Limited,REDINGTON,Redington Ltd,Active,A ,2.00,INE891D01026,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
RELIANCE,Reliance Industries Limited,India,NSE,INR,Common Stock,INE002A01018,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,500325,Reliance Industries Ltd,RELIANCE,Reliance Industries Ltd,Active,A ,10.00,INE002A01018,Refineries & Marketing,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing
RELIANCE,Reliance Industries Limited,India,NSE,INR,Common Stock,INE002A01018,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,532611,Reliance Industries Ltd,RILBBPH,RILBBPH,Delisted,B ,10.00,INE002A01018, ,Equity,-,-,-,-
RENUKA,Shree Renuka Sugars Limited,India,NSE,INR,Common Stock,INE087H01022,Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA,EQ,INE087H01022,532670,Shree Renuka Sugars Ltd.,RENUKA,Shree Renuka Sugars Ltd,Active,A ,1.00,INE087H01022,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
RHIM,RHI MAGNESITA INDIA LIMITED,India,NSE,INR,Common Stock,INE743M01012,RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM,EQ,INE743M01012,534076,RHI MAGNESITA INDIA LIMITED,RHIM,Rhi Magnesita India Ltd,Active,A ,1.00,INE743M01012,Electrodes & Refractories,Equity,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories
RITES,RITES Limited,India,NSE,INR,Common Stock,INE320J01015,RITES Ltd.,Construction,RITES,EQ,INE320J01015,541556,RITES Limited,RITES,RITES Ltd,Active,A ,10.00,INE320J01015,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
RKFORGE,Ramkrishna Forgings Limited,India,NSE,INR,Common Stock,INE399G01023,Ramkrishna Forgings Ltd.,Automobile and Auto Components,RKFORGE,EQ,INE399G01023,532527,ramkrishna forgings Ltd.,RKFORGE,Ramkrishna Forgings Ltd,Active,A ,2.00,INE399G01023,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
ROUTE,ROUTE MOBILE LIMITED,India,NSE,INR,Common Stock,INE450U01017,Route Mobile Ltd.,Telecommunication,ROUTE,EQ,INE450U01017,543228,Route Mobile Limited,ROUTE,Route Mobile Ltd,Active,A ,10.00,INE450U01017,Other Telecom Services,Equity,Telecommunication,Telecommunication,Telecom - Services,Other Telecom Services
RPOWER,Reliance Power Limited,India,NSE,INR,Common Stock,INE614G01033,Reliance Power Ltd.,Power,RPOWER,EQ,INE614G01033,532939,Reliance Power Limited,RPOWER,Reliance Power Ltd,Active,A ,10.00,INE614G01033,Power Generation,Equity,Utilities,Power,Power,Power Generation
