company,date,sec_code,Revenue,PAT,EBITDA,EPS Basic,EPS Diluted,Operating Margin,Earnings,file_url
Mahindra & Mahindra Financial Services Ltd,2025-04-22T22:02:41.33,532720,4885.63,456.19,,3.70,3.70,,456.19,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7d35c6f2-90e0-4d19-ac75-bdb2e93ecb3d.pdf
Mangalore Refinery and Petrochemicals Ltd,2025-04-26T14:38:33.913,500109,27601.39,370.63,,2.11,2.11,3.25,370.63,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a087fa02-ac56-4729-b0f7-1e96b0a91521.pdf
Maruti Suzuki India Ltd,2025-04-25T14:13:48.76,532500,405201,39111,,124.40,124.40,,39111,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=84cca5cf-d5c5-4c35-8383-981b1c8cd44d.pdf
Mastek Ltd,2025-04-18T16:17:33.447,523704,90542,8107,,26.24,26.01,,8107,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=aeb4e1b6-f55e-4d4d-88f4-8a2e371b591e.pdf
Motilal Oswal Financial Services Ltd,2025-04-25T14:36:26.93,532892,82135,-1972,,-4.83,-4.81,32.82,139133,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=18e2354a-a079-4658-bbc6-237e9149a658.pdf
Mphasis Ltd,2025-04-24T23:10:31.01,526299,37100.41,4464.92,,23.51,23.41,15.3,4464.92,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=283dcab3-8a8c-4d90-974c-81c4bd77bd71.pdf
Nestle India Ltd,2025-04-24T11:48:52.647,500790,55038.8,8874.1,,9.18,9.18,21.5,8874.1,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=457d86be-552b-4f4a-b704-ad7c316b7470.pdf
Network 18 Media & Investments Ltd,2025-04-18T19:49:13.05,532798,561.32,-29.09,,-0.13,-0.13,11.67,-29.09,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=10a78375-3bf9-4417-bf5c-7ac83a5a1290.pdf
Oberoi Realty Ltd,2025-04-28T23:51:29.137,533273,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5e7eea66-f82c-43d9-b112-5ff0d7ea99a8.pdf
Oracle Financial Services Software Ltd,2025-04-25T20:03:38.263,532466,17163,6439,,74.15,73.76,,6439,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6ce41265-4ea8-4928-9d8d-246d94edfdb8.pdf
PCBL Chemical Ltd,2025-04-29T14:22:21.547,506590,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b92c8324-48a7-4b06-a263-e899d1976953.pdf
PNB Housing Finance Ltd,2025-04-28T16:49:19.877,540173,2021.85,550.38,,21.18,21.10,,550.38,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=89fcefa2-8994-4c44-883f-00fe33d8988e.pdf
Persistent Systems Ltd,2025-04-24T05:19:58.503,533179,32421.12,3957.60,,25.64,25.39,,3957.60,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f3835e32-ee21-4495-a679-666c454aa2fc.pdf
The Phoenix Mills Ltd,2025-04-30T19:13:39.13,503100,101633.55,34770.06,,7.52,7.52,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8a80904e-fea2-4ea9-af55-7387d6444b81.pdf
Poonawalla Fincorp Ltd,2025-04-25T17:16:55.46,524000,1166.27,62.33,,0.81,0.81,,62.33,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=473e4072-83c1-4e54-ab24-22d7eaeb7c0b.pdf
Praj Industries Ltd,2025-04-29T18:08:49.717,522205,8596.809,398.169,,2.17,2.17,,398.169,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3242dcf4-7f48-46a6-b0e3-163e0ea5fa8e.pdf
Reliance Industries Ltd,2025-04-25T20:28:58.92,500325,267186,21804,45595,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e19305a5-f5b6-42a1-b3f1-ea6f2b121414.pdf
SBFC Finance Ltd,2025-04-26T16:21:04.603,543959,3606.73,939.43,,0.87,0.85,,939.43,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e8645ab0-0d9a-475e-b30e-a4fbb09ff55e.pdf
SBI Cards and Payment Services Ltd,2025-04-24T19:07:11.43,543066,4673.95,534.18,,5.62,5.61,,534.18,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a046de89-da6f-4791-9508-25c9732b25c4.pdf
SBI Life Insurance Company Ltd,2025-04-24T15:49:15.76,540719,2416941,81351,,8.12,8.11,,81351,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9785ddad-9726-4064-a60f-620177cc280b.pdf
Shriram Finance Ltd,2025-04-25T15:22:21.873,511218,11460.25,2143.77,,11.40,11.39,,2143.77,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7eae7192-7990-49f9-89d7-62d0d8cd0413.pdf
Sona BLW Precision Forgings Ltd,2025-04-30T16:23:20.383,543300,8647.50,1636.85,,2.64,2.64,,1636.85,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d006bdfc-2e0f-4098-a747-301a74d99b8c.pdf
Star Health and Allied Insurance Company Ltd,2025-04-29T18:37:22.02,543412,,14232,,0.01,0.01,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f3ea495f-c00d-44df-bbe5-35db8ecff437.pdf
Sterling and Wilson Renewable Energy Ltd,2025-04-24T15:33:34.207,542760,2519.11,55.01,,2.37,2.37,,55.01,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=48bb9167-362b-4de4-b400-bba5f6f73f4e.pdf
Sundram Fasteners Ltd,2025-04-30T19:30:51.043,500403,1537.78,124.49,,5.92,5.92,,124.49,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fa3cbefe-107b-4d86-bddb-26732b990948.pdf
Supreme Industries Ltd,2025-04-24T13:49:12.48,509930,3027.07,293.94,,23.14,23.14,,293.94,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=accd86c0-31b4-4bc8-a590-7d31bda22156.pdf
Syngene International Ltd,2025-04-23T19:54:40.613,539268,10180,1833,,4.56,4.56,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f7fefdef-9491-4c6e-8886-9f8ea3699ce2.pdf
TVS Motor Company Ltd,2025-04-28T15:18:42.247,532343,9550,852,1333,17.94,17.94,14.0,852,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=333aac87-5c66-4b5f-86e9-3c06bf3ea15f.pdf
Tanla Platforms Ltd,2025-04-24T19:24:41.203,532790,102436.48,11733.35,,8.74,8.72,,11733.35,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0991de10-3d97-41a3-9212-c1a0cedcc942.pdf
Tata Communications Ltd,2025-04-22T17:22:48.873,500483,5990,,1122,36.50,36.49,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7927d131-c175-4c3e-b76a-bd734549b0d8.pdf
Tata Consultancy Services Ltd,2025-04-10T16:06:53.487,532540,64479,12293,,33.79,33.79,,12293,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=33e9dd1c-56f6-4cd6-ba09-e3dae372b685.pdf
Tata Consumer Products Ltd,2025-04-23T16:26:36.54,500800,4608.22,348.72,,3.49,3.49,10.23,344.85,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=30ee0eb1-e1cf-4968-9eea-7d47c22de419.pdf
Tata Elxsi Ltd,2025-04-17T18:35:05.173,500408,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d47b2f24-7b7f-487a-b691-0a59cf24a196.pdf
Tata Investment Corporation Ltd,2025-04-21T20:16:56.13,501301,16.43,37.72,,7.46,7.46,,54.60,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=49a5af01-b414-4745-928d-017aba8ddb6e.pdf
Tata Technologies Ltd,2025-04-25T16:22:26.893,544028,1285.65,188.87,,4.66,4.65,,188.87,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c7c2576f-c5f3-4d97-8a88-35c6c3f75467.pdf
Tata Teleservices (Maharashtra) Ltd,2025-04-23T18:26:00.47,532371,308.21,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=682b60de-207f-4703-ba4e-7c59814115db.pdf
Tech Mahindra Ltd,2025-04-24T16:49:05.783,532755,133840,11667,18674,13.17,13.15,10.5,11667,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9efed6a0-3a11-4d5e-b991-c6251c5fc273.pdf
Tejas Networks Ltd,2025-04-25T19:18:44.59,540595,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=89b30671-f450-44c5-b17e-c93b867b7401.pdf
