company,date,sec_code,Revenue,PAT,EBITDA,EPS Basic,EPS Diluted,Operating Margin,Earnings,file_url
Bajaj Auto Ltd,2024-01-24T16:13:56.78,532977,12114,2042,2430,72.2,72.2,20.1,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c38f8094-fc6e-44db-97c3-c2d33f55ddd6.pdf
Bajaj Finance Ltd,2024-01-29T16:50:31.13,500034,14161.09,3638.95,,59.42,59.20,,3638.95,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e52263a8-645b-455a-9320-72f79128bd68.pdf
Bajaj Finserv Ltd,2024-01-30T13:01:53.34,532978,29038.43,2157.67,,13.6,13.4,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e6fd04fd-0bb6-4261-9a42-af441aabebd8.pdf
Bajaj Holdings & Investment Ltd,2024-01-30T16:07:59.42,500490,132.50,1644.43,,147.8,147.8,,1644.43,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8e9d8f3b-2d9a-4a86-8a4e-09fb16a9332d.pdf
Bank of Baroda,2024-01-31T13:58:37.52,532134,3508398,478852,,9.26,9.26,24.02,478852,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3b20ecb0-251e-4ab1-898d-469775e1228b.pdf
Bank of Maharashtra,2024-01-16T11:58:49.84,532525,573554,103840,,1.47,1.47,33.49,103840,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ed2106f8-0550-481f-be12-03a04a637947.pdf
Bharat Dynamics Ltd,2024-01-24T14:00:25.417,541143,60161.99,13503.40,,7.31,7.31,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=be62fc89-abe4-46ba-ab95-4ff5de1b6e22.pdf
Bharat Electronics Ltd,2024-01-29T13:41:28.803,500049,413669,89330,,1.22,1.22,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=53da2731-5e48-408e-b7b3-5aa9aca79d5c.pdf
Bharat Petroleum Corporation Ltd,2024-01-29T13:40:10.767,500547,129984.84,3181.42,,14.94,14.94,3.20,3181.42,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d4fc59f1-4dad-4eae-8b14-1680c29f34a2.pdf
Birlasoft Ltd,2024-01-24T16:15:42.78,532400,13429.51,1610.58,,5.82,5.73,,1610.58,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e57e45fe-6a8c-481a-8c08-f62444492be0.pdf
Blue Dart Express Ltd,2024-01-24T17:45:49.203,526612,138293,8156,,34.37,34.37,,8156,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9242c181-c3a1-4c08-b463-e6776784c5fe.pdf
Blue Star Ltd,2024-01-30T15:18:41.96,500067,2241.19,100.46,,4.59,4.89,6.93,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2de7ab21-06c9-41fa-b4a7-6f5154cdf2bc.pdf
C.E. Info Systems Ltd,2024-01-16T14:05:57.657,543425,9202,3104,,5.69,5.65,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d571be00-df82-4c6a-be18-5579d5abd103.pdf
CESC Ltd,2024-01-19T16:59:03.91,500084,3244,301,,2.12,2.12,,301,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c62f6a1e-d7bf-4e94-9bd9-b7431d3d4313.pdf
CG Power and Industrial Solutions Ltd,2024-01-23T14:39:46.75,500093,1978.75,747.67,,4.90,4.90,,747.67,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b2a13125-442a-47ca-8a15-1c5a7289b1f2.pdf
Can Fin Homes Ltd,2024-01-20T14:03:03.127,511196,90192.55,20013.97,,15.03,15.03,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e04567ce-2bee-4b29-9d6d-2d92ed892030.pdf
Canara Bank,2024-01-24T12:42:54.637,532483,35330.18,3790.21,,20.89,20.89,21.05,3790.21,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=33176484-870b-4ca3-8284-1738ed29d13a.pdf
Carborundum Universal Ltd,2024-01-31T14:09:42.963,513375,115144,11198,,5.86,5.84,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a1656f7d-0a37-4401-9235-45b463d7dff9.pdf
Ceat Ltd,2024-01-24T17:55:13.423,500878,296314,18128,,44.87,44.87,14.37,18128,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b8633ce4-02fe-4823-82d0-6196a2fd55ef.pdf
Central Bank of India,2024-01-19T12:52:35.95,532885,917116,73447,,0.85,0.85,21.18,73447,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=743a466c-2856-443f-b777-538d9f0b3340.pdf
Chalet Hotels Ltd,2024-01-24T18:44:12.967,542399,3736.68,706.42,1722.15,3.44,3.44,,706.42,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6af015a7-e40a-4816-816b-3bf397466327.pdf
Chennai Petroleum Corporation Ltd,2024-01-22T18:23:36.16,500110,20453.04,365.28,,24.17,24.17,3.05,365.28,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0c87601d-233c-4efb-a2de-58596f4baead.pdf
Cholamandalam Investment and Finance Company Ltd,2024-01-25T15:35:14.103,511243,5007.42,872.02,,10.40,10.37,,872.02,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=974160cb-0cc8-4419-a08d-9fb770b21dd0.pdf
Cipla Ltd,2024-01-22T18:49:10.563,500087,6603.81,1068.41,,13.08,13.07,,1068.41,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d7698b72-929f-4e53-9744-eb0328cfc3d3.pdf
Cochin Shipyard Ltd,2024-01-30T19:00:56.787,540678,105639.81,24437.98,,18.58,18.58,33,24437.98,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2578df47-3b8a-4e74-945a-6d2055c3dc6a.pdf
Coforge Ltd,2024-01-22T15:42:43.527,532541,23233,2428,4012,38.63,38.06,,2428,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3d5221e8-3117-4b3a-bf45-518bfa246770.pdf
Colgate Palmolive (India) Ltd,2024-01-22T14:50:30.31,500830,138641,33011,,12.14,12.14,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=71ad3f40-22e7-4968-9119-553e71233f6b.pdf
Container Corporation of India Ltd,2024-01-24T17:43:45.783,531344,2210.57,325.81,,5.43,5.43,,330.58,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ec662914-fae8-4776-8485-ab8a45cdf37c.pdf
Coromandel International Ltd,2024-01-30T14:53:34.027,506395,5464.15,228.11,336.23,7.85,7.82,6.37,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4facdfeb-f612-4895-a8bf-d3f6d354ce17.pdf
Craftsman Automation Ltd,2024-01-27T16:27:23.24,543276,113320,,,34.61,34.61,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8b797534-6613-4d1f-8cdb-880b78f78008.pdf
Cyient Ltd,2024-01-25T16:04:13.09,532175,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d61d19d2-724a-4dde-ac08-1434845710ca.pdf
DCM Shriram Ltd,2024-01-31T16:40:02.283,523367,3137.54,240.48,480.42,15.42,15.42,14.73,480.42,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6bc0ec33-4cb6-4a9f-98a1-f2b6a600f537.pdf
DLF Ltd,2024-01-24T16:10:32.433,532868,1521.25,655.71,,2.64,2.64,,655.71,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c7750cb4-53da-45cf-9d7d-edfe89651096.pdf
Dabur India Ltd,2024-01-31T15:33:01.16,500096,3255.06,506.44,,2.90,2.90,20.52,506.44,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e1c83178-173f-4a0c-b2c8-ad51bac26756.pdf
Dalmia Bharat Ltd,2024-01-24T16:27:15.19,542216,3600,266,,14.02,14.02,,266,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ecc548af-07f4-44ad-b2e7-bb6579d8b4bd.pdf
Data Patterns (India) Ltd,2024-01-31T17:45:54.81,543428,139.51,50.97,,9.10,9.10,,50.97,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=26d43743-e353-4683-ad66-018100d1280a.pdf
Dixon Technologies (India) Ltd,2024-01-31T18:45:51.76,540699,481825,9707,18671,16.29,16.21,3.8,9707,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=89bc9b70-412c-4b4a-9096-940bf0454805.pdf
Dr Reddys Laboratories Ltd,2024-01-30T16:11:33.657,500124,72148,13789,21107,82.81,82.68,29.3,13789,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8b38a3d3-8d26-4197-833c-c969b3d0610d.pdf
Elecon Engineering Company Ltd,2024-01-25T13:13:31.137,505700,47400,2520,1200,8.06,8.06,25.4,9040,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=32b32511-10ef-4137-a319-a4f68dad2399.pdf
Exide Industries Ltd,2024-01-24T13:16:57.473,500086,3841,240,440,2.83,2.83,11.5,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=047fb97a-c679-489f-b3f3-872b264dd8ed.pdf
Federal Bank Ltd,2024-01-16T12:40:52.9,500469,699355,103542,,4.28,4.22,,103542,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d9d8f18b-91d9-4e34-ae41-7e20eee8eb8f.pdf
Finolex Industries Ltd,2024-01-18T21:00:30.057,500940,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ca5a0d91-a505-4b3e-93d8-45278a22ffcf.pdf
Gail (India) Ltd,2024-01-29T14:52:20.383,532155,34767.84,3193.34,,4.86,4.86,8.90,3193.34,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=346f708b-555b-4ae8-86ae-d5b8dada0c14.pdf
GMR Airports Ltd,2024-01-31T17:46:41.153,532754,2116.65,-486.40,792.59,-0.53,-0.53,,-486.40,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0dd96625-be00-4aba-b185-96bdc332d1f6.pdf
Gillette India Ltd,2024-01-30T14:26:42.03,507815,63946,10395,,31.91,31.91,,10395,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7d8ee988-3f30-45de-b81f-465006b25e33.pdf
Godfrey Phillips India Ltd,2024-01-29T18:17:08.65,500163,148754,21235,,40.85,40.85,,21235,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=eb82fd5f-dda4-4477-a8e6-94547179de6f.pdf
Godrej Consumer Products Ltd,2024-01-31T16:34:30.527,532424,3659.64,581.06,856.92,5.68,5.68,24.7,581.06,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e59cd3e4-04ee-4ec4-a9d8-c85cae94edb0.pdf
Gravita India Ltd,2024-01-23T14:17:07.567,533282,599.03,50.46,,7.31,,,50.46,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=289f3957-e784-4c23-83b5-348ae15284e4.pdf
Great Eastern Shipping Company Ltd,2024-01-31T16:22:28.1,500620,1245.13,538.17,,37.70,37.62,52.18,538.17,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=81ab8382-4544-4b63-b293-b2ef9abc134b.pdf
HCL Technologies Ltd,2024-01-12T17:41:16.17,532281,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=504d7c25-bd58-4834-9d0c-37c9e61d9e3d.pdf
HDFC Asset Management Company Ltd,2024-01-11T14:22:02.557,541729,671.32,487.92,,22.86,22.82,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=42d1229d-a668-4247-a9af-e2057bc9df3e.pdf
Happiest Minds Technologies Ltd,2024-01-17T18:16:01.23,543227,43417,5962,10519,3.98,3.96,0.20,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7ff70072-4ab0-47fe-a895-f83f346e430c.pdf
Havells India Ltd,2024-01-23T18:59:47.613,517354,4413.86,287.91,,4.59,4.59,,287.91,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=794d0b84-2789-4cba-aada-4528735c3cf0.pdf
Himadri Speciality Chemical Ltd,2024-01-16T12:20:26.94,500184,1052.51,108.78,,2.47,2.47,,108.78,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4cd484d1-6946-4802-b33e-f79b9b75be37.pdf
Hindustan Petroleum Corporation Ltd,2024-01-25T13:45:44.167,500104,118484.30,712.84,,5.03,5.03,0.91,712.84,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9f9ff5ee-0a7b-4b41-8a2f-8713f9db16b6.pdf
Hindustan Unilever Ltd,2024-01-19T15:52:41.383,500696,15294,2508,3666,10.68,10.68,24,2508,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ce0c5d63-3a0e-44f1-a486-b755531217eb.pdf
Hindustan Zinc Ltd,2024-01-19T13:48:43.847,500188,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e9008a69-f59e-485e-b945-fef8d8150d56.pdf
Hitachi Energy India Ltd,2024-01-23T20:58:55.27,543187,1276.4,23.0,81.0,5.42,5.42,6.3,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=37a7a8c0-4b8a-4959-aa5d-d4a11b9cf738.pdf
Home First Finance Company India Ltd,2024-01-18T16:41:40.7,543259,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e914bec5-ed1a-4d07-877e-fc6f681bbcbc.pdf
ICICI Bank Ltd,2024-01-20T15:36:55.88,532174,59479.76,11052.60,,15.77,15.47,,11052.60,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9bbaaf9f-6e25-497e-a232-1ded54dfdde9.pdf
ICICI Lombard General Insurance Company Ltd,2024-01-16T19:26:57.18,540716,437920,41342,,8.78,8.73,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a88c3fbb-b764-4ac8-a10f-b05f38e0e67c.pdf
ICICI Prudential Life Insurance Company Ltd,2024-01-17T20:03:49.127,540133,264.94,2.27,,1.58,1.57,,"22,747",https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f7277877-4990-43c2-b061-54e39efe69e8.pdf
IDBI Bank Ltd,2024-01-20T13:18:24.263,500116,7579.91,1508.53,,1.40,1.40,,1508.53,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3dc551de-ef79-460c-93c8-d5ea41ccb113.pdf
IDFC First Bank Ltd,2024-01-20T16:59:30.487,539437,939606,73209,,1.04,1.03,,73209,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=85f6531a-f16a-46e1-9511-5e9e2d8ff60c.pdf
IIFL Finance Ltd,2024-01-17T16:06:16.94,532636,2647.48,545.19,,12.86,12.70,,545.19,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2509963a-af4b-4d28-997f-2e9477f33c5d.pdf
IRB Infrastructure Developers Ltd,2024-01-31T18:00:02.503,532947,196853.63,18742.29,97800,0.31,0.31,44,18742.29,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=54903777-5199-4129-ba57-7dfbe51d7fe0.pdf
ITC Ltd,2024-01-29T18:36:49.5,500875,19484.50,5406.52,,4.28,4.26,,5406.52,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a4f03ac1-ec7f-4758-8ca8-32ea8086e6bd.pdf
IndiaMART InterMESH Ltd,2024-01-18T15:50:08.893,542726,3052.63,818.25,,13.66,13.63,,818.25,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6a50ef50-0337-4085-b227-04ddc09c8660.pdf
Indian Energy Exchange Ltd,2024-01-25T15:33:42.217,540750,11530.02,9180.70,,1.03,1.03,,9180.70,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=226364c7-40ca-4882-b252-15a8d67973bd.pdf
Indian Oil Corporation Ltd,2024-01-24T14:31:17.513,530965,22689208,9220.85,,6.56,6.56,5.24,9029.56,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f700d2a9-90b8-4e3e-8327-1a9f0d60a330.pdf
Indian Overseas Bank,2024-01-24T13:12:46.203,532388,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c4083edd-b7c3-4391-8176-479d52a0e75f.pdf
Indian Renewable Energy Development Agency Ltd,2024-01-20T15:57:43.043,544026,1253,336,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=64046878-5bd9-4045-849b-c21d0a55b56b.pdf
Indraprastha Gas Ltd,2024-01-25T13:39:34.713,532514,3926.19,392.07,564.14,5.60,5.60,16,392.07,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6c3c7009-27ed-4be2-be0f-2ad3c7b52e83.pdf
Indus Towers Ltd,2024-01-23T20:39:57.49,534816,71990,15405,37205,5.72,5.72,28.14,15405,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c9052aeb-d2b6-4260-93d7-aa5878b535b4.pdf
Indusind Bank Ltd,2024-01-18T16:26:15.687,532187,1396817,220216,,29.60,29.55,,220216,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d50f0019-293c-4df3-8e5b-d780b0b957a6.pdf
Infosys Ltd,2024-01-11T16:27:25.713,500209,38821,6113,,14.76,14.74,20.5,6113,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=06160800-612c-47c3-92cd-2ea8cdf13c7c.pdf
Intellect Design Arena Ltd,2024-01-25T15:48:56.193,538835,6343.46,848.80,,6.22,6.00,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=09cf592e-50a4-48f4-9474-172a13dca88b.pdf
JK Cement Ltd,2024-01-20T14:24:38.837,532644,293483.47,28381.01,,36.73,36.73,21.30,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4e786cfd-3f8c-4a5d-a7c9-a3816263decb.pdf
JBM Auto Ltd,2024-01-30T18:17:40.157,532605,1346.17,52.06,,4.12,4.12,,52.06,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cd91546d-78cc-406a-b061-697d143398e2.pdf
JSW Energy Ltd,2024-01-23T17:55:39.897,533148,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=13f9342a-d517-4a55-a417-72c78234bf15.pdf
JSW Holdings Ltd,2024-01-24T13:53:09.073,532642,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=98b5dfcb-ddcf-4238-b6d4-6dde857170ab.pdf
JSW Steel Ltd,2024-01-25T15:14:59.12,500228,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6510427a-3e77-4434-b103-5dc08f62cefc.pdf
Jaiprakash Power Ventures Ltd,2024-01-29T15:36:36.443,532627,219032,17285,60062,0.16,0.16,,17285,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c9732979-9da2-4dd8-9ec7-de1567406487.pdf
Jammu & Kashmir Bank Ltd,2024-01-20T16:41:52.297,532209,3066.97,422.77,,4.05,4.05,17.97,422.77,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6666af86-feb9-4f28-b292-c393df01237c.pdf
Jindal Saw Ltd,2024-01-16T14:02:27.83,500378,5655.79,511.68,860.48,16.72,16.72,15.06,511.68,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6c6a2b5f-3ab7-4731-a135-88cbc56ffdca.pdf
Jindal Stainless Ltd,2024-01-18T14:54:55.277,532508,9127.45,691.22,,8.41,8.41,13.65,691.22,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a4c4a7b0-6e3e-4215-9cc2-6b4c9248c698.pdf
Jindal Steel Ltd,2024-01-31T17:09:36.907,532286,13698,1928,2802,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=eaaa7403-8f11-429b-b9e5-a8c479493af4.pdf
Jio Financial Services Ltd,2024-01-15T20:11:20.45,543940,414.33,293.82,,0.46,0.46,,293.82,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=605161a9-1799-4338-ba89-7c4c3c322745.pdf
Jubilant FoodWorks Ltd,2024-01-31T15:07:41.21,533155,13781.17,657.09,,1.00,1.00,,657.09,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e86e1297-f5de-4272-80aa-4be18d916e75.pdf
Jubilant Ingrevia Ltd,2024-01-30T15:08:56.073,543271,96640,3856,10438,2.44,2.43,6.35,3856,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9bffcbb4-b606-4ae3-bb2e-6808b20486e2.pdf
Just Dial Ltd,2024-01-12T19:51:03.357,535648,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=38ac7e50-c1e7-4dd2-9ca4-e4c1fe7d68aa.pdf
Jyothy Labs Ltd,2024-01-31T12:54:38.797,532926,67750,9092,,2.48,2.48,,9092,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=76bc06f6-a381-4800-86d7-659acb547b13.pdf
KEI Industries Ltd,2024-01-23T18:29:37.353,517569,20617.22,1506.74,,16.70,16.67,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c433dc69-95d4-4407-9910-aa33e0813db8.pdf
